,0,1,2
496,MA5,EMA5,middleband
497,MA5,EMA5,lowerband
498,MA5,EMA20,EMA60
499,MA5,EMA20,EMA120
500,MA5,EMA20,MACD
501,MA5,EMA20,MACD_sig9
502,MA5,EMA20,MACD_OSC
503,MA5,EMA20,Fast%K
504,MA5,EMA20,Fast%D
505,MA5,EMA20,Slow%K
506,MA5,EMA20,Slow%D
507,MA5,EMA20,RSI14
508,MA5,EMA20,RSI signal
509,MA5,EMA20,CCI
510,MA5,EMA20,A_Ratio
511,MA5,EMA20,B_Ratio
512,MA5,EMA20,ATR
513,MA5,EMA20,UpDI
514,MA5,EMA20,DownDI
515,MA5,EMA20,MFI
516,MA5,EMA20,Momentum
517,MA5,EMA20,Sonar
518,MA5,EMA20,Sonar_sig5
519,MA5,EMA20,STDEV
520,MA5,EMA20,Sigma
521,MA5,EMA20,TRIX
522,MA5,EMA20,VR
523,MA5,EMA20,WILLR
524,MA5,EMA20,Psy
525,MA5,EMA20,Disparity20
526,MA5,EMA20,Disparity60
527,MA5,EMA20,ADX
528,MA5,EMA20,ADOSC
529,MA5,EMA20,Volume_OSC
530,MA5,EMA20,upperband
531,MA5,EMA20,middleband
532,MA5,EMA20,lowerband
533,MA5,EMA60,EMA120
534,MA5,EMA60,MACD
535,MA5,EMA60,MACD_sig9
536,MA5,EMA60,MACD_OSC
537,MA5,EMA60,Fast%K
538,MA5,EMA60,Fast%D
539,MA5,EMA60,Slow%K
540,MA5,EMA60,Slow%D
541,MA5,EMA60,RSI14
542,MA5,EMA60,RSI signal
543,MA5,EMA60,CCI
544,MA5,EMA60,A_Ratio
545,MA5,EMA60,B_Ratio
546,MA5,EMA60,ATR
547,MA5,EMA60,UpDI
548,MA5,EMA60,DownDI
549,MA5,EMA60,MFI
550,MA5,EMA60,Momentum
551,MA5,EMA60,Sonar
552,MA5,EMA60,Sonar_sig5
553,MA5,EMA60,STDEV
554,MA5,EMA60,Sigma
555,MA5,EMA60,TRIX
556,MA5,EMA60,VR
557,MA5,EMA60,WILLR
558,MA5,EMA60,Psy
559,MA5,EMA60,Disparity20
560,MA5,EMA60,Disparity60
561,MA5,EMA60,ADX
562,MA5,EMA60,ADOSC
563,MA5,EMA60,Volume_OSC
564,MA5,EMA60,upperband
565,MA5,EMA60,middleband
566,MA5,EMA60,lowerband
567,MA5,EMA120,MACD
568,MA5,EMA120,MACD_sig9
569,MA5,EMA120,MACD_OSC
570,MA5,EMA120,Fast%K
571,MA5,EMA120,Fast%D
572,MA5,EMA120,Slow%K
573,MA5,EMA120,Slow%D
574,MA5,EMA120,RSI14
575,MA5,EMA120,RSI signal
576,MA5,EMA120,CCI
577,MA5,EMA120,A_Ratio
578,MA5,EMA120,B_Ratio
579,MA5,EMA120,ATR
580,MA5,EMA120,UpDI
581,MA5,EMA120,DownDI
582,MA5,EMA120,MFI
583,MA5,EMA120,Momentum
584,MA5,EMA120,Sonar
585,MA5,EMA120,Sonar_sig5
586,MA5,EMA120,STDEV
587,MA5,EMA120,Sigma
588,MA5,EMA120,TRIX
589,MA5,EMA120,VR
590,MA5,EMA120,WILLR
591,MA5,EMA120,Psy
592,MA5,EMA120,Disparity20
593,MA5,EMA120,Disparity60
594,MA5,EMA120,ADX
595,MA5,EMA120,ADOSC
596,MA5,EMA120,Volume_OSC
597,MA5,EMA120,upperband
598,MA5,EMA120,middleband
599,MA5,EMA120,lowerband
600,MA5,MACD,MACD_sig9
601,MA5,MACD,MACD_OSC
602,MA5,MACD,Fast%K
603,MA5,MACD,Fast%D
604,MA5,MACD,Slow%K
605,MA5,MACD,Slow%D
606,MA5,MACD,RSI14
607,MA5,MACD,RSI signal
608,MA5,MACD,CCI
609,MA5,MACD,A_Ratio
610,MA5,MACD,B_Ratio
611,MA5,MACD,ATR
612,MA5,MACD,UpDI
613,MA5,MACD,DownDI
614,MA5,MACD,MFI
615,MA5,MACD,Momentum
616,MA5,MACD,Sonar
617,MA5,MACD,Sonar_sig5
618,MA5,MACD,STDEV
619,MA5,MACD,Sigma
620,MA5,MACD,TRIX
621,MA5,MACD,VR
622,MA5,MACD,WILLR
623,MA5,MACD,Psy
624,MA5,MACD,Disparity20
625,MA5,MACD,Disparity60
626,MA5,MACD,ADX
627,MA5,MACD,ADOSC
628,MA5,MACD,Volume_OSC
629,MA5,MACD,upperband
630,MA5,MACD,middleband
631,MA5,MACD,lowerband
632,MA5,MACD_sig9,MACD_OSC
633,MA5,MACD_sig9,Fast%K
634,MA5,MACD_sig9,Fast%D
635,MA5,MACD_sig9,Slow%K
636,MA5,MACD_sig9,Slow%D
637,MA5,MACD_sig9,RSI14
638,MA5,MACD_sig9,RSI signal
639,MA5,MACD_sig9,CCI
640,MA5,MACD_sig9,A_Ratio
641,MA5,MACD_sig9,B_Ratio
642,MA5,MACD_sig9,ATR
643,MA5,MACD_sig9,UpDI
644,MA5,MACD_sig9,DownDI
645,MA5,MACD_sig9,MFI
646,MA5,MACD_sig9,Momentum
647,MA5,MACD_sig9,Sonar
648,MA5,MACD_sig9,Sonar_sig5
649,MA5,MACD_sig9,STDEV
650,MA5,MACD_sig9,Sigma
651,MA5,MACD_sig9,TRIX
652,MA5,MACD_sig9,VR
653,MA5,MACD_sig9,WILLR
654,MA5,MACD_sig9,Psy
655,MA5,MACD_sig9,Disparity20
656,MA5,MACD_sig9,Disparity60
657,MA5,MACD_sig9,ADX
658,MA5,MACD_sig9,ADOSC
659,MA5,MACD_sig9,Volume_OSC
660,MA5,MACD_sig9,upperband
661,MA5,MACD_sig9,middleband
662,MA5,MACD_sig9,lowerband
663,MA5,MACD_OSC,Fast%K
664,MA5,MACD_OSC,Fast%D
665,MA5,MACD_OSC,Slow%K
666,MA5,MACD_OSC,Slow%D
667,MA5,MACD_OSC,RSI14
668,MA5,MACD_OSC,RSI signal
669,MA5,MACD_OSC,CCI
670,MA5,MACD_OSC,A_Ratio
671,MA5,MACD_OSC,B_Ratio
672,MA5,MACD_OSC,ATR
673,MA5,MACD_OSC,UpDI
674,MA5,MACD_OSC,DownDI
675,MA5,MACD_OSC,MFI
676,MA5,MACD_OSC,Momentum
677,MA5,MACD_OSC,Sonar
678,MA5,MACD_OSC,Sonar_sig5
679,MA5,MACD_OSC,STDEV
680,MA5,MACD_OSC,Sigma
681,MA5,MACD_OSC,TRIX
682,MA5,MACD_OSC,VR
683,MA5,MACD_OSC,WILLR
684,MA5,MACD_OSC,Psy
685,MA5,MACD_OSC,Disparity20
686,MA5,MACD_OSC,Disparity60
687,MA5,MACD_OSC,ADX
688,MA5,MACD_OSC,ADOSC
689,MA5,MACD_OSC,Volume_OSC
690,MA5,MACD_OSC,upperband
691,MA5,MACD_OSC,middleband
692,MA5,MACD_OSC,lowerband
693,MA5,Fast%K,Fast%D
694,MA5,Fast%K,Slow%K
695,MA5,Fast%K,Slow%D
696,MA5,Fast%K,RSI14
697,MA5,Fast%K,RSI signal
698,MA5,Fast%K,CCI
699,MA5,Fast%K,A_Ratio
700,MA5,Fast%K,B_Ratio
701,MA5,Fast%K,ATR
702,MA5,Fast%K,UpDI
703,MA5,Fast%K,DownDI
704,MA5,Fast%K,MFI
705,MA5,Fast%K,Momentum
706,MA5,Fast%K,Sonar
707,MA5,Fast%K,Sonar_sig5
708,MA5,Fast%K,STDEV
709,MA5,Fast%K,Sigma
710,MA5,Fast%K,TRIX
711,MA5,Fast%K,VR
712,MA5,Fast%K,WILLR
713,MA5,Fast%K,Psy
714,MA5,Fast%K,Disparity20
715,MA5,Fast%K,Disparity60
716,MA5,Fast%K,ADX
717,MA5,Fast%K,ADOSC
718,MA5,Fast%K,Volume_OSC
719,MA5,Fast%K,upperband
720,MA5,Fast%K,middleband
721,MA5,Fast%K,lowerband
722,MA5,Fast%D,Slow%K
723,MA5,Fast%D,Slow%D
724,MA5,Fast%D,RSI14
725,MA5,Fast%D,RSI signal
726,MA5,Fast%D,CCI
727,MA5,Fast%D,A_Ratio
728,MA5,Fast%D,B_Ratio
729,MA5,Fast%D,ATR
730,MA5,Fast%D,UpDI
731,MA5,Fast%D,DownDI
732,MA5,Fast%D,MFI
733,MA5,Fast%D,Momentum
734,MA5,Fast%D,Sonar
735,MA5,Fast%D,Sonar_sig5
736,MA5,Fast%D,STDEV
737,MA5,Fast%D,Sigma
738,MA5,Fast%D,TRIX
739,MA5,Fast%D,VR
740,MA5,Fast%D,WILLR
741,MA5,Fast%D,Psy
742,MA5,Fast%D,Disparity20
743,MA5,Fast%D,Disparity60
744,MA5,Fast%D,ADX
745,MA5,Fast%D,ADOSC
746,MA5,Fast%D,Volume_OSC
747,MA5,Fast%D,upperband
748,MA5,Fast%D,middleband
749,MA5,Fast%D,lowerband
750,MA5,Slow%K,Slow%D
751,MA5,Slow%K,RSI14
752,MA5,Slow%K,RSI signal
753,MA5,Slow%K,CCI
754,MA5,Slow%K,A_Ratio
755,MA5,Slow%K,B_Ratio
756,MA5,Slow%K,ATR
757,MA5,Slow%K,UpDI
758,MA5,Slow%K,DownDI
759,MA5,Slow%K,MFI
760,MA5,Slow%K,Momentum
761,MA5,Slow%K,Sonar
762,MA5,Slow%K,Sonar_sig5
763,MA5,Slow%K,STDEV
764,MA5,Slow%K,Sigma
765,MA5,Slow%K,TRIX
766,MA5,Slow%K,VR
767,MA5,Slow%K,WILLR
768,MA5,Slow%K,Psy
769,MA5,Slow%K,Disparity20
770,MA5,Slow%K,Disparity60
771,MA5,Slow%K,ADX
772,MA5,Slow%K,ADOSC
773,MA5,Slow%K,Volume_OSC
774,MA5,Slow%K,upperband
775,MA5,Slow%K,middleband
776,MA5,Slow%K,lowerband
777,MA5,Slow%D,RSI14
778,MA5,Slow%D,RSI signal
779,MA5,Slow%D,CCI
780,MA5,Slow%D,A_Ratio
781,MA5,Slow%D,B_Ratio
782,MA5,Slow%D,ATR
783,MA5,Slow%D,UpDI
