class,return,rb_count,resid_diff,out_multiple,rebalance_weight
neu,269.2989462114356,57,15,0.6,0.1
deff,227.78845956278,82,15,0.6,0.1
att,368.6651459829349,35,15,0.6,0.2
neu,258.9394249667175,57,15,0.6,0.2
deff,211.07005434045797,82,15,0.6,0.2
att,380.8971712148667,35,15,0.6,0.3
neu,252.30784075470055,57,15,0.6,0.3
deff,198.04972825269675,82,15,0.6,0.3
att,390.9480927017229,35,15,0.6,0.4
neu,247.54127959737733,57,15,0.6,0.4
deff,187.48620496826197,82,15,0.6,0.4
att,398.98305177049536,35,15,0.6,0.5
neu,243.65757146349,57,15,0.6,0.5
deff,178.73343048372277,82,15,0.6,0.5
att,405.1453015357995,35,15,0.6,0.6
neu,240.1896582750324,57,15,0.6,0.6
deff,171.34613595685818,82,15,0.6,0.6
att,409.65964574384765,35,15,0.6,0.7
neu,237.00000338354116,57,15,0.6,0.7
deff,165.06749188833186,82,15,0.6,0.7
att,412.71324122657813,35,15,0.6,0.8
neu,234.11091013441015,57,15,0.6,0.8
deff,159.6618318722728,82,15,0.6,0.8
att,414.56595148859265,35,15,0.6,0.9
neu,231.7004715618139,57,15,0.6,0.9
deff,154.96191244192124,82,15,0.6,0.9
att,356.9684579122561,23,15,0.8,0.1
neu,288.43256527681416,40,15,0.8,0.1
deff,237.13996713018437,50,15,0.8,0.1
att,371.93145419931733,23,15,0.8,0.2
neu,290.65894065237063,40,15,0.8,0.2
deff,230.56347310228372,50,15,0.8,0.2
att,383.8823668756476,23,15,0.8,0.3
neu,293.24267463693707,40,15,0.8,0.3
deff,226.45706406049672,50,15,0.8,0.3
att,393.6275088570601,23,15,0.8,0.4
neu,295.86627189560056,40,15,0.8,0.4
deff,223.38339888925566,50,15,0.8,0.4
att,401.73772740965194,23,15,0.8,0.5
neu,298.2828996673575,40,15,0.8,0.5
deff,220.66155347433045,50,15,0.8,0.5
att,408.7009210309048,23,15,0.8,0.6
neu,300.28056527786197,40,15,0.8,0.6
deff,218.0003908642768,50,15,0.8,0.6
att,414.86799953928124,23,15,0.8,0.7
neu,301.6940022788051,40,15,0.8,0.7
deff,215.30837206859633,50,15,0.8,0.7
att,420.4159233180049,23,15,0.8,0.8
neu,302.39846904401765,40,15,0.8,0.8
deff,212.6028856678952,50,15,0.8,0.8
att,425.369558634857,23,15,0.8,0.9
neu,302.3099142272015,40,15,0.8,0.9
deff,209.91542164030236,50,15,0.8,0.9
att,353.9673738949807,19,15,0.9,0.1
neu,292.96241943588416,31,15,0.9,0.1
deff,241.8480246619227,44,15,0.9,0.1
att,367.63650813455854,19,15,0.9,0.2
neu,297.048966339493,31,15,0.9,0.2
deff,237.1963947271354,44,15,0.9,0.2
att,379.3220305678392,19,15,0.9,0.3
neu,299.7086464446066,31,15,0.9,0.3
deff,235.72524272699337,44,15,0.9,0.3
att,388.9803817988422,19,15,0.9,0.4
neu,301.1470909028071,31,15,0.9,0.4
deff,236.220099032116,44,15,0.9,0.4
att,396.5030177198443,19,15,0.9,0.5
neu,301.692735163404,31,15,0.9,0.5
deff,237.84898315286677,44,15,0.9,0.5
att,401.91711499471734,19,15,0.9,0.6
neu,301.5648407894116,31,15,0.9,0.6
deff,240.13143998890038,44,15,0.9,0.6
att,405.18015367164867,19,15,0.9,0.7
neu,301.0574927993763,31,15,0.9,0.7
deff,242.6959254352565,44,15,0.9,0.7
att,406.29425129299375,19,15,0.9,0.8
neu,300.3193740189536,31,15,0.9,0.8
deff,245.32064628162357,44,15,0.9,0.8
att,405.2849316988005,19,15,0.9,0.9
neu,299.6499448227877,31,15,0.9,0.9
deff,247.92359880876504,44,15,0.9,0.9
att,348.46219153261393,59,20,0.2,0.1
neu,283.36804147882503,74,20,0.2,0.1
deff,235.46713144063938,68,20,0.2,0.1
att,355.8544224297521,59,20,0.2,0.2
neu,280.12557012710573,74,20,0.2,0.2
deff,227.43920252456505,68,20,0.2,0.2
att,359.7931626869195,59,20,0.2,0.3
neu,277.41286856841816,74,20,0.2,0.3
deff,222.5797321312907,68,20,0.2,0.3
att,361.2773731984147,59,20,0.2,0.4
neu,274.6263495108616,74,20,0.2,0.4
deff,219.28557045421525,68,20,0.2,0.4
att,361.127241171644,59,20,0.2,0.5
neu,271.34284914694047,74,20,0.2,0.5
deff,216.76127579431517,68,20,0.2,0.5
att,359.9672296489732,59,20,0.2,0.6
neu,267.2892055838586,74,20,0.2,0.6
deff,214.63334181566296,68,20,0.2,0.6
att,358.295184562779,59,20,0.2,0.7
neu,262.36059715328145,74,20,0.2,0.7
deff,212.76967534885526,68,20,0.2,0.7
att,356.4695542949675,59,20,0.2,0.8
neu,256.48797561016016,74,20,0.2,0.8
deff,211.17219694519133,68,20,0.2,0.8
att,354.71268995514106,59,20,0.2,0.9
neu,249.67894025535682,74,20,0.2,0.9
deff,209.7778146256458,68,20,0.2,0.9
att,357.0409006845491,59,20,0.3,0.1
neu,279.2823166189199,77,20,0.3,0.1
deff,241.6091520611759,68,20,0.3,0.1
att,371.9079128972055,59,20,0.3,0.2
neu,269.4438541565889,77,20,0.3,0.2
deff,235.427968890381,68,20,0.3,0.2
att,385.40683283014334,59,20,0.3,0.3
neu,260.9181964663517,77,20,0.3,0.3
deff,230.55544132585584,68,20,0.3,0.3
att,399.55620234832935,59,20,0.3,0.4
neu,253.85320599756204,77,20,0.3,0.4
deff,226.57651490240178,68,20,0.3,0.4
att,415.3540907752991,59,20,0.3,0.5
neu,248.1157214133262,77,20,0.3,0.5
deff,223.15708830223184,68,20,0.3,0.5
att,433.12067283763747,59,20,0.3,0.6
neu,243.4048608658791,77,20,0.3,0.6
deff,220.18870649643057,68,20,0.3,0.6
att,452.76473058547816,59,20,0.3,0.7
neu,239.4445940650938,77,20,0.3,0.7
deff,217.5415481927875,68,20,0.3,0.7
att,474.0129339680679,59,20,0.3,0.8
neu,236.0248094060891,77,20,0.3,0.8
deff,215.23309581489727,68,20,0.3,0.8
att,496.2695835097315,59,20,0.3,0.9
neu,233.0355280494679,77,20,0.3,0.9
deff,213.23184044065468,68,20,0.3,0.9
att,359.9178259814285,55,20,0.4,0.1
neu,282.81538191413875,69,20,0.4,0.1
deff,248.8914987609861,70,20,0.4,0.1
att,375.80808254022753,55,20,0.4,0.2
neu,276.8210890409481,69,20,0.4,0.2
deff,244.27731714477548,70,20,0.4,0.2
att,384.7523407877922,55,20,0.4,0.3
neu,270.1158528442366,69,20,0.4,0.3
deff,237.52851109609634,70,20,0.4,0.3
att,387.5740590641994,55,20,0.4,0.4
neu,262.712917137815,69,20,0.4,0.4
deff,229.95315074834835,70,20,0.4,0.4
att,385.50797984294576,55,20,0.4,0.5
neu,254.6892174773229,69,20,0.4,0.5
deff,222.31923219032362,70,20,0.4,0.5
att,379.84437184915555,55,20,0.4,0.6
neu,246.19922535686317,69,20,0.4,0.6
deff,215.0438074632629,70,20,0.4,0.6
att,371.9017359877567,55,20,0.4,0.7
neu,237.32398018655948,69,20,0.4,0.7
deff,208.3150323199274,70,20,0.4,0.7
att,362.8793164128307,55,20,0.4,0.8
neu,228.15933749961872,69,20,0.4,0.8
deff,202.12198689565687,70,20,0.4,0.8
att,353.88856421566067,55,20,0.4,0.9
neu,218.83569256153066,69,20,0.4,0.9
deff,196.3477019619944,70,20,0.4,0.9
att,371.230175430679,39,20,0.5,0.1
neu,296.70001932840216,56,20,0.5,0.1
deff,235.3536419199943,66,20,0.5,0.1
att,401.184687323858,39,20,0.5,0.2
neu,301.9563454845442,56,20,0.5,0.2
deff,223.8635626283641,66,20,0.5,0.2
att,426.5452932288166,39,20,0.5,0.3
neu,304.1688159260747,56,20,0.5,0.3
deff,214.3656972581864,66,20,0.5,0.3
att,446.7879430929185,39,20,0.5,0.4
neu,303.02253951139505,56,20,0.5,0.4
deff,206.38757246360709,66,20,0.5,0.4
att,461.6486472201348,39,20,0.5,0.5
neu,298.53374143257014,56,20,0.5,0.5
deff,199.52284675006786,66,20,0.5,0.5
att,471.0248553831068,39,20,0.5,0.6
neu,290.9550200227745,56,20,0.5,0.6
deff,193.38902954683397,66,20,0.5,0.6
att,475.0670685051937,39,20,0.5,0.7
neu,280.7034030213354,56,20,0.5,0.7
deff,187.7798350269334,66,20,0.5,0.7
att,474.0435312441828,39,20,0.5,0.8
neu,268.2806326901428,56,20,0.5,0.8
deff,182.50675435752896,66,20,0.5,0.8
att,468.37410770092197,39,20,0.5,0.9
neu,254.28841582889555,56,20,0.5,0.9
deff,177.4074152795795,66,20,0.5,0.9
att,363.8507044265773,28,20,0.6,0.1
neu,295.7149766902926,45,20,0.6,0.1
deff,240.78327735900834,57,20,0.6,0.1
att,388.8483595124234,28,20,0.6,0.2
neu,302.5627980624183,45,20,0.6,0.2
deff,234.75382946271952,57,20,0.6,0.2
att,413.15123135976893,28,20,0.6,0.3
neu,309.60627034206334,45,20,0.6,0.3
deff,229.87409753904402,57,20,0.6,0.3
att,436.4881087028541,28,20,0.6,0.4
neu,316.19618835382647,45,20,0.6,0.4
deff,225.0703035565374,57,20,0.6,0.4
att,458.6020088144332,28,20,0.6,0.5
neu,321.68565165672254,45,20,0.6,0.5
deff,219.76997625551064,57,20,0.6,0.5
att,479.2694231702825,28,20,0.6,0.6
neu,325.6162580393796,45,20,0.6,0.6
deff,213.81690748891847,57,20,0.6,0.6
att,498.3074195387863,28,20,0.6,0.7
neu,327.6148465031638,45,20,0.6,0.7
deff,207.21463481445326,57,20,0.6,0.7
att,515.5618056215309,28,20,0.6,0.8
neu,327.50150541010015,45,20,0.6,0.8
deff,200.0849446164137,57,20,0.6,0.8
att,530.8956272547703,28,20,0.6,0.9
neu,325.2002046592713,45,20,0.6,0.9
deff,192.61592672147762,57,20,0.6,0.9
att,366.6522623455075,20,20,0.8,0.1
neu,300.6314508731836,25,20,0.8,0.1
deff,249.3269613183029,34,20,0.8,0.1
att,394.62639119072145,20,20,0.8,0.2
neu,311.4058645362842,25,20,0.8,0.2
deff,247.2925122776022,34,20,0.8,0.2
att,423.1412911250121,20,20,0.8,0.3
neu,321.9675265288345,25,20,0.8,0.3
deff,246.14585670414078,34,20,0.8,0.3
att,452.0802697710997,20,20,0.8,0.4
neu,332.33866979551254,25,20,0.8,0.4
deff,245.9266299098007,34,20,0.8,0.4
att,481.2673841800713,20,20,0.8,0.5
neu,342.48847368812676,25,20,0.8,0.5
deff,246.6286240424158,34,20,0.8,0.5
att,510.6329445657736,20,20,0.8,0.6
neu,352.40938309068775,25,20,0.8,0.6
deff,248.30199840583694,34,20,0.8,0.6
att,539.9190609460825,20,20,0.8,0.7
neu,362.0303458181376,25,20,0.8,0.7
deff,250.93197259550055,34,20,0.8,0.7
att,569.0071189779246,20,20,0.8,0.8
neu,371.39397255544884,25,20,0.8,0.8
deff,254.55090872764637,34,20,0.8,0.8
att,597.6419351040824,20,20,0.8,0.9
neu,380.3903462391849,25,20,0.8,0.9
deff,259.17388280983016,34,20,0.8,0.9
att,366.08643440542465,19,20,0.9,0.1
neu,305.4179678713787,19,20,0.9,0.1
deff,253.677521485328,24,20,0.9,0.1
att,390.50151003608903,19,20,0.9,0.2
neu,319.81642556247743,19,20,0.9,0.2
deff,256.01197851019003,24,20,0.9,0.2
att,413.00910959758954,19,20,0.9,0.3
neu,333.38547057380583,19,20,0.9,0.3
deff,257.6586864345551,24,20,0.9,0.3
att,433.3362185377157,19,20,0.9,0.4
neu,346.1701006088259,19,20,0.9,0.4
deff,258.6454586278899,24,20,0.9,0.4
att,451.2650239869151,19,20,0.9,0.5
neu,358.1497551956168,19,20,0.9,0.5
deff,259.00173279085095,24,20,0.9,0.5
att,466.6518774408367,19,20,0.9,0.6
neu,369.37105786142246,19,20,0.9,0.6
deff,258.7958829724306,24,20,0.9,0.6
att,479.2958089005507,19,20,0.9,0.7
neu,379.91273414049255,19,20,0.9,0.7
deff,258.0894298923494,24,20,0.9,0.7
att,489.10266887293307,19,20,0.9,0.8
neu,389.84774068489173,19,20,0.9,0.8
deff,256.9118413540847,24,20,0.9,0.8
att,495.9539523011237,19,20,0.9,0.9
neu,399.2588642767901,19,20,0.9,0.9
deff,255.32007362260975,24,20,0.9,0.9
