0,1,2
Momentum,Sonar_sig5,Volume_OSC
Momentum,Sonar_sig5,Disparity20
Momentum,Sonar_sig5,CCI
Momentum,Fast%D,MA5_gra
Momentum,Fast%D,Volume_OSC
Momentum,Fast%D,Disparity20
Momentum,Fast%D,CCI
Momentum,MA5_gra,Volume_OSC
Momentum,MA5_gra,Disparity20
Momentum,MA5_gra,CCI
Momentum,Volume_OSC,Disparity20
Momentum,Volume_OSC,CCI
Momentum,Disparity20,CCI
RSI signal,Sonar_sig5,Fast%D
RSI signal,Sonar_sig5,MA5_gra
RSI signal,Sonar_sig5,Volume_OSC
RSI signal,Sonar_sig5,Disparity20
RSI signal,Sonar_sig5,CCI
RSI signal,Fast%D,MA5_gra
RSI signal,Fast%D,Volume_OSC
RSI signal,Fast%D,Disparity20
RSI signal,Fast%D,CCI
RSI signal,MA5_gra,Volume_OSC
RSI signal,MA5_gra,Disparity20
RSI signal,MA5_gra,CCI
RSI signal,Volume_OSC,Disparity20
RSI signal,Volume_OSC,CCI
RSI signal,Disparity20,CCI
Sonar_sig5,Fast%D,MA5_gra
Sonar_sig5,Fast%D,Volume_OSC
Sonar_sig5,Fast%D,Disparity20
Sonar_sig5,Fast%D,CCI
Sonar_sig5,MA5_gra,Volume_OSC
Sonar_sig5,MA5_gra,Disparity20
Sonar_sig5,MA5_gra,CCI
Sonar_sig5,Volume_OSC,Disparity20
Sonar_sig5,Volume_OSC,CCI
Sonar_sig5,Disparity20,CCI
Fast%D,MA5_gra,Volume_OSC
Fast%D,MA5_gra,Disparity20
Fast%D,MA5_gra,CCI
Fast%D,Volume_OSC,Disparity20
Fast%D,Volume_OSC,CCI
Fast%D,Disparity20,CCI
MA5_gra,Volume_OSC,Disparity20
MA5_gra,Volume_OSC,CCI
MA5_gra,Disparity20,CCI
Volume_OSC,Disparity20,CCI
