class,return,rb_count,resid_diff,out_multiple,rebalance_weight
deff,189.65258945398185,62,15,0.3,0.5
att,309.62819324483854,65,15,0.3,0.6
neu,215.89557247333454,85,15,0.3,0.6
deff,184.6332978494647,62,15,0.3,0.6
att,302.67737426204764,65,15,0.3,0.7
neu,206.77530203399687,85,15,0.3,0.7
deff,180.498219093704,62,15,0.3,0.7
att,296.56815971660785,65,15,0.3,0.8
neu,198.43808073940232,85,15,0.3,0.8
deff,176.96524560823582,62,15,0.3,0.8
att,291.34046192731876,65,15,0.3,0.9
neu,191.0224017067909,85,15,0.3,0.9
deff,173.86493326473138,62,15,0.3,0.9
att,354.1400824155816,51,15,0.4,0.1
neu,255.11246854315002,87,15,0.4,0.1
deff,230.18068772583075,85,15,0.4,0.1
att,364.0404602704066,51,15,0.4,0.2
neu,231.8177699860583,87,15,0.4,0.2
deff,216.61702864418015,85,15,0.4,0.2
att,369.8619480438228,51,15,0.4,0.3
neu,213.961244450188,87,15,0.4,0.3
deff,205.8606009693142,85,15,0.4,0.3
att,372.95118815879954,51,15,0.4,0.4
neu,200.02031555881493,87,15,0.4,0.4
deff,196.74997839002566,85,15,0.4,0.4
att,374.2865758650764,51,15,0.4,0.5
neu,188.98208070878962,87,15,0.4,0.5
deff,188.90920761251425,85,15,0.4,0.5
att,374.5201633087184,51,15,0.4,0.6
neu,180.21421168994922,87,15,0.4,0.6
deff,182.18262256765328,85,15,0.4,0.6
att,373.99463022289484,51,15,0.4,0.7
neu,173.24291311283108,87,15,0.4,0.7
deff,176.50879016189668,85,15,0.4,0.7
att,372.84270519790465,51,15,0.4,0.8
neu,167.6811424468033,87,15,0.4,0.8
deff,171.82800563364097,85,15,0.4,0.8
att,371.00578846349794,51,15,0.4,0.9
neu,163.291534614658,87,15,0.4,0.9
deff,168.0725027254102,85,15,0.4,0.9
att,348.2130546410565,43,15,0.5,0.1
neu,266.87093102130945,71,15,0.5,0.1
deff,229.6066745805739,78,15,0.5,0.1
att,350.8574354645719,43,15,0.5,0.2
neu,253.06424720239764,71,15,0.5,0.2
deff,213.15476984682195,78,15,0.5,0.2
att,349.13537350959734,43,15,0.5,0.3
neu,242.32245051174243,71,15,0.5,0.3
deff,199.92542666234948,78,15,0.5,0.3
att,345.05189771251617,43,15,0.5,0.4
