,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-20,2980.419921875,4220.2001953125,752.4400024414062,12298.5595703125,1316.1199951171875,948.6900024414062,7703.0400390625,2980.419921875,4220.2001953125,752.4400024414062,12298.5595703125,1316.1199951171875,948.6900024414062,7703.0400390625,3037.360107421875,4313.16015625,820.52001953125,12298.5595703125,1414.4300537109375,984.510009765625,8149.7900390625,2909.340087890625,4113.490234375,747.780029296875,11976.8798828125,1314.9000244140625,947.4400024414062,7703.0400390625,3000.139892578125,4274.97998046875,805.8699951171875,12170.98046875,1373.77001953125,967.4600219726562,8149.77001953125,236556200.0,206255200.0,9093740000.0,3096103200.0,3147650000.0,424100.0,154300000.0
2008-11-21,2881.260009765625,4127.41015625,800.030029296875,12659.2001953125,1384.3499755859375,1003.72998046875,7910.7900390625,2881.260009765625,4127.41015625,800.030029296875,12659.2001953125,1384.3499755859375,1003.72998046875,7910.7900390625,3041.110107421875,4296.85986328125,801.2000122070312,13048.5,1384.3499755859375,1013.1199951171875,7994.68017578125,2838.5,4034.9599609375,741.02001953125,11814.8095703125,1295.47998046875,914.02001953125,7406.18017578125,3005.18994140625,4228.31005859375,755.8400268554688,11814.8095703125,1346.77001953125,929.739990234375,7600.35009765625,230950600.0,204209900.0,9495900000.0,3106043200.0,3071280000.0,602100.0,185200000.0
2008-11-24,3172.110107421875,4554.330078125,851.8099975585938,12457.9404296875,1472.02001953125,970.1400146484375,,3172.110107421875,4554.330078125,851.8099975585938,12457.9404296875,1472.02001953125,970.1400146484375,,3172.110107421875,4579.06982421875,865.5999755859375,12707.23046875,1480.4100341796875,1014.489990234375,,2931.489990234375,4154.5498046875,801.2000122070312,12239.490234375,1397.18994140625,969.489990234375,,2959.52001953125,4167.7099609375,801.2000122070312,12239.490234375,1409.719970703125,996.22998046875,,219127700.0,211675900.0,7879440000.0,1769147200.0,2553620000.0,464200.0,
2008-11-25,3209.56005859375,4560.419921875,857.3900146484375,12878.599609375,1464.72998046875,983.3200073242188,8323.9296875,3209.56005859375,4560.419921875,857.3900146484375,12878.599609375,1464.72998046875,983.3200073242188,8323.9296875,3274.7099609375,4693.10009765625,868.9400024414062,13090.8798828125,1486.219970703125,1029.4599609375,8356.830078125,3104.360107421875,4455.2998046875,834.989990234375,12767.4404296875,1430.4000244140625,966.280029296875,8025.68994140625,3126.3798828125,4521.85009765625,853.4000244140625,13012.0,1472.02001953125,1016.0900268554688,8026.06005859375,222082500.0,200744500.0,6952700000.0,2466291800.0,2457510000.0,486200.0,155000000.0
2008-11-26,3169.85009765625,4560.5,887.6799926757812,13369.4501953125,1532.0999755859375,1029.780029296875,8213.2197265625,3169.85009765625,4560.5,887.6799926757812,13369.4501953125,1532.0999755859375,1029.780029296875,8213.2197265625,3213.159912109375,4612.22021484375,887.6799926757812,13369.4501953125,1532.0999755859375,1030.699951171875,8317.830078125,3095.06005859375,4423.669921875,841.3699951171875,12990.349609375,1441.2099609375,993.0700073242188,8149.56005859375,3183.699951171875,4528.5498046875,852.9000244140625,12990.349609375,1441.2099609375,993.0700073242188,8229.7197265625,157880800.0,137166700.0,5793260000.0,2394587200.0,1980020000.0,515500.0,118900000.0
2008-11-27,3250.389892578125,4665.27001953125,,13552.0595703125,,1063.47998046875,8373.3896484375,3250.389892578125,4665.27001953125,,13552.0595703125,,1063.47998046875,8373.3896484375,3254.760009765625,4682.91015625,,13930.91015625,,1070.6700439453125,8458.6796875,3205.25,4589.16015625,,13332.9296875,,1046.4599609375,8300.490234375,3223.39990234375,4596.39990234375,,13901.4501953125,,1058.6300048828125,8311.240234375,110609700.0,118322500.0,,2776072000.0,,563600.0,116600000.0
2008-11-28,3262.679931640625,4669.43994140625,896.239990234375,13888.240234375,1535.5699462890625,1076.0699462890625,8512.26953125,3262.679931640625,4669.43994140625,896.239990234375,13888.240234375,1535.5699462890625,1076.0699462890625,8512.26953125,3262.679931640625,4703.669921875,896.25,13896.490234375,1535.5699462890625,1084.030029296875,8518.1298828125,3177.300048828125,4566.83984375,881.2100219726562,13550.2900390625,1512.4100341796875,1061.52001953125,8336.5703125,3239.3798828125,4666.41015625,886.8900146484375,13550.2900390625,1517.949951171875,1066.8399658203125,8400.0498046875,144639700.0,138307900.0,2740860000.0,2150281200.0,787580000.0,555200.0,145300000.0
2008-12-01,3080.429931640625,4394.7900390625,816.2100219726562,14108.83984375,1398.0699462890625,1058.6199951171875,8397.2197265625,3080.429931640625,4394.7900390625,816.2100219726562,14108.83984375,1398.0699462890625,1058.6199951171875,8397.2197265625,3272.090087890625,4667.91015625,888.6099853515625,14253.66015625,1496.239990234375,1083.010009765625,8464.3603515625,3071.989990234375,4367.919921875,815.6900024414062,13659.4404296875,1398.0699462890625,1058.6199951171875,8307.2802734375,3261.330078125,4653.1201171875,888.6099853515625,13775.2802734375,1496.0899658203125,1074.0,8464.3603515625,137255200.0,149138800.0,6052010000.0,2041643600.0,1904470000.0,627300.0,106900000.0
2008-12-02,3152.89990234375,4531.7900390625,848.8099975585938,13405.849609375,1449.800048828125,1023.2000122070312,7863.68994140625,3152.89990234375,4531.7900390625,848.8099975585938,13405.849609375,1449.800048828125,1023.2000122070312,7863.68994140625,3160.300048828125,4572.18017578125,850.5399780273438,13513.5,1450.8299560546875,1038.4100341796875,8266.3203125,3011.800048828125,4304.02978515625,817.9400024414062,13344.599609375,1399.8800048828125,1007.260009765625,7863.68994140625,3029.85009765625,4349.1298828125,817.9400024414062,13373.01953125,1423.8499755859375,1007.7100219726562,8266.3203125,162809200.0,170007300.0,6170100000.0,1961207600.0,2056730000.0,421100.0,136000000.0
2008-12-03,3166.64990234375,4567.240234375,870.739990234375,13588.66015625,1492.3800048828125,1022.6699829101562,8004.10009765625,3166.64990234375,4567.240234375,870.739990234375,13588.66015625,1492.3800048828125,1022.6699829101562,8004.10009765625,3183.5,4602.8798828125,873.1199951171875,13778.0498046875,1493.06005859375,1038.4100341796875,8056.3798828125,3056.030029296875,4377.6298828125,827.5999755859375,13573.4296875,1414.0400390625,1013.5599975585938,7889.81982421875,3147.419921875,4508.8798828125,843.5999755859375,13598.599609375,1416.030029296875,1038.4100341796875,7965.31005859375,136411800.0,242570100.0,6221880000.0,1811385200.0,2240150000.0,478700.0,121200000.0
